	species	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
113	Alcelaphus buselaphus								LC								LC				
114	Alces alces																LC				
115	Alionycteris paucidentata								LC								LC				
116	Allactaga balikunica								LC								LC				
117	Allactaga bullata								LC								LC				
118	Allactaga elater																LC				
119	Allactaga euphratica								NT											LC	
120	Allactaga firouzi								DD								DD				
121	Allactaga hotsoni								LC								LC				
122	Allactaga major								LC								LC				
123	Allactaga severtzovi								LC								LC				
124	Allactaga sibirica								LC								LC				
125	Allactaga tetradactyla				DD				VU									DD			
126	Allactaga toussi																			LC	
127	Allactaga vinogradovi								NT												
128	Allactaga williamsi								LC								LC				
129	Allactodipus bobrinskii								LC								LC				
130	Allenopithecus nigroviridis								LC											LC	LC
131	Allocebus trichotis								DD						VU						
132	Allochrocebus lhoesti								VU			VU					VU			VU	
133	Allochrocebus preussi								EN								EN			EN	
134	Allochrocebus solatus								VU								VU			NT	
135	Allocricetulus curtatus								LC								LC				
136	Allocricetulus eversmanni								LC								LC				
137	Alouatta arctoidea								LC										LC		
138	Alouatta belzebul								VU											VU	
139	Alouatta caraya			LC					LC												
140	Alouatta discolor			LC					VU												
141	Alouatta guariba			NT					LC												
142	Alouatta juara								LC							LC					
143	Alouatta macconnelli			VU					LC												
144	Alouatta nigerrima								LC										LC		
145	Alouatta palliata			LC					LC												
146	Alouatta pigra			EN					EN												
147	Alouatta puruensis								LC							LC					
148	Alouatta sara			LC					LC												
149	Alouatta seniculus			LC					LC							LC					
150	Alouatta ululata			CR					EN												
151	Alticola albicaudus								DD								DD				
152	Alticola argentatus								LC								LC				
153	Alticola barakshin								LC								LC				
154	Alticola lemminus								LC								LC				
155	Alticola macrotis								LC								LC				
156	Alticola montosa								VU								VU				
157	Alticola olchonensis								DD								EN				
158	Alticola roylei								NT								NT				
159	Alticola semicanus								LC								LC				
160	Alticola stoliczkanus								LC								LC				
161	Alticola strelzowi								LC								LC				
162	Alticola tuvinicus								LC								LC				
163	Amblysomus corriae						NT		NT							NT					
164	Amblysomus hottentotus						LC		LC							LC					
165	Amblysomus marleyi						EN		EN							EN					
166	Amblysomus robustus						VU		VU							VU					
167	Amblysomus septentrionalis						NT		NT							NT					
168	Ametrida centurio								LC								LC				
169	Ammodillus imbellis				DD				DD									DD			
170	Ammodorcas clarkei							VU	VU								VU				
171	Ammospermophilus harrisii								LC								LC				
172	Ammospermophilus interpres								LC								LC				
173	Ammospermophilus leucurus								LC								LC				
174	Ammospermophilus nelsoni								EN									EN			
175	Ammotragus lervia								VU												
176	Amorphochilus schnablii								EN							VU					
177	Amphinectomys savamis								DD											DD	
178	Anathana ellioti								LC								LC				
179	Andalgalomys olrogi								LC								LC				
180	Andalgalomys pearsoni								LC								LC				
181	Andinomys edax								LC								LC				
182	Anisomys imitator								LC								LC				
183	Anomalurus beecrofti				LC				LC								LC				
184	Anomalurus derbianus				LC				LC								LC				
185	Anomalurus pelii				NT					DD											
186	Anomalurus pusillus				LC				LC								LC				
187	Anonymomys mindorensis								DD								DD				
188	Anotomys leander								VU		VU								EN		
189	Anoura aequatoris																			LC	
190	Anoura cadenai																	DD			
191	Anoura caudifer																LC				
192	Anoura cultrata								NT								LC				
193	Anoura fistulata								DD										DD		
194	Anoura geoffroyi																LC				
195	Anoura latidens								LC							LC					
196	Anoura luismanueli								LC										LC		
197	Anoura peruana																			LC	
198	Anourosorex assamensis								LC								LC				
199	Anourosorex schmidi								DD								DD				
200	Anourosorex squamipes								LC								LC				
201	Anourosorex yamashinai								LC								LC				
202	Antechinomys laniger								LC								LC				
203	Antechinus adustus								LC								LC				
204	Antechinus agilis								LC								LC				
205	Antechinus bellus								LC								VU				
206	Antechinus flavipes								LC								LC				
207	Antechinus godmani								NT											LC	
208	Antechinus leo								LC								LC				
209	Antechinus minimus								LC								LC				
210	Antechinus stuartii								LC								LC				
211	Antechinus subtropicus								LC								LC				
212	Antechinus swainsonii								LC								LC				
213	Anthops ornatus								DD												
214	Antidorcas marsupialis								LC								LC				
215	Antilocapra americana								LC								LC				
216	Antilope cervicapra			NT					NT									LC			
217	Antrozous pallidus								LC									LC			
218	Aonyx capensis				LC				LC							NT					
219	Aonyx cinereus				NT				VU							VU					
220	Aonyx congicus				DD				LC							NT					
221	Aotus azarae			LC					LC										LC		
222	Aotus brumbacki								VU												
223	Aotus griseimembra								VU											VU	
224	Aotus jorgehernandezi								DD										DD		
225	Aotus lemurinus								VU												
226	Aotus miconax			VU					VU											EN	EN
227	Aotus nancymaae			LC					LC									VU			
228	Aotus nigriceps			LC					LC										LC		
229	Aotus trivirgatus			LC					LC										LC		
230	Aotus vociferans			LC					LC										LC		LC
231	Aotus zonalis								DD												
232	Aplodontia rufa								LC								LC				
233	Apodemus agrarius								LC								LC				
234	Apodemus alpicola								LC								LC				
235	Apodemus argenteus								LC								LC				
236	Apodemus avicennicus																DD				
237	Apodemus chevrieri								LC								LC				
238	Apodemus draco								LC								LC				
239	Apodemus epimelas								LC								LC				
240	Apodemus flavicollis								LC								LC				
241	Apodemus gurkha								EN								LC				
242	Apodemus hyrcanicus								NT								NT				
243	Apodemus latronum								LC								LC				
244	Apodemus mystacinus								LC								LC				
245	Apodemus pallipes								LC								LC				
246	Apodemus peninsulae								LC								LC				
247	Apodemus ponticus								LC								LC				
248	Apodemus rusiges								LC								LC				
249	Apodemus semotus								LC								LC				
250	Apodemus speciosus								LC								LC				
251	Apodemus sylvaticus				LC				LC								LC				
252	Apodemus uralensis								LC								LC				
253	Apodemus witherbyi								LC								LC				
254	Apomys abrae								DD								LC				
255	Apomys aurorae																	LC			
256	Apomys banahao																	LC			
257	Apomys brownorum																	DD			
258	Apomys camiguinensis								VU									VU			
259	Apomys datae								LC								LC				
260	Apomys gracilirostris								DD								LC				
261	Apomys hylocetes								LC								LC				
262	Apomys insignis								NT		LC						LC				
263	Apomys iridensis																			LC	
264	Apomys littoralis								DD								DD				
265	Apomys lubangensis																			LC	
266	Apomys magnus																	LC			
267	Apomys microdon								LC								LC				
268	Apomys minganensis																	LC			
269	Apomys musculus								LC								LC				
270	Apomys sacobianus								DD								LC				
271	Apomys sierrae																	LC			
272	Apomys zambalensis																	LC			
273	Aproteles bulmerae								CR								CR				
274	Arabitragus jayakari								EN											EN	
275	Arborimus albipes								LC								LC				
276	Arborimus longicaudus								NT										NT		
277	Arborimus pomo								NT												
278	Archboldomys luzonensis								VU									VU			
279	Archboldomys maximus																	DD			
280	Arctictis binturong								VU								VU				
281	Arctocebus aureus								LC											LC	
282	Arctocebus calabarensis								LC											NT	
283	Arctocephalus australis								LC								VU				
284	Arctocephalus forsteri								LC							LC					
285	Arctocephalus galapagoensis								EN							EN					
286	Arctocephalus gazella								LC						LC		LC				
287	Arctocephalus philippii								NT							LC					
288	Arctocephalus pusillus								LC							LC					
289	Arctocephalus townsendi								NT							LC					
290	Arctocephalus tropicalis								LC							LC					
291	Arctogalidia trivirgata								LC								LC				
292	Arctonyx albogularis																LC				
293	Arctonyx collaris																VU				
294	Arctonyx hoevenii																LC				
295	Ardops nichollsi								LC											LC	
296	Arielulus aureocollaris								LC												
297	Arielulus circumdatus								LC											LC	
298	Arielulus cuprosus								DD								VU				
299	Arielulus societatis								VU												
300	Arielulus torquatus								LC											LC	
301	Ariteus flavescens								LC											LC	
302	Artibeus aequatorialis																			LC	
303	Artibeus amplus								LC										LC		
304	Artibeus concolor								LC								LC				
305	Artibeus fimbriatus								LC							LC					
306	Artibeus fraterculus								LC							LC					
307	Artibeus hirsutus								LC							LC					
308	Artibeus inopinatus								DD								DD				
309	Artibeus jamaicensis																LC				
310	Artibeus lituratus								LC							LC					
311	Artibeus obscurus								LC								LC				
312	Artibeus planirostris								LC							LC					
313	Artibeus schwartzi																DD				
314	Arvicanthis abyssinicus				LC				LC								LC				
315	Arvicanthis ansorgei				LC				LC								LC				
316	Arvicanthis blicki				NT				NT								NT				
317	Arvicanthis nairobae				LC				LC								LC				
318	Arvicanthis neumanni				DD				LC								LC				
319	Arvicanthis niloticus				LC				LC								LC				
320	Arvicanthis rufinus				LC				LC								LC				
321	Arvicola amphibius								LC								LC				
322	Arvicola sapidus								VU												
323	Arvicola scherman								LC								LC				
324	Asellia arabica																	DD			
325	Asellia italosomalica																	DD			
326	Asellia patrizii				VU				LC									LC			
327	Asellia tridens																	LC			
328	Aselliscus stoliczkanus								LC												
329	Aselliscus tricuspidatus								LC												
330	Atelerix albiventris								LC								LC				
331	Atelerix algirus								LC												
332	Atelerix frontalis								LC								LC				
333	Atelerix sclateri								LC								LC				
334	Ateles belzebuth			VU					EN											EN	
335	Ateles chamek			LC					EN												
336	Ateles fusciceps								CR												
337	Ateles geoffroyi			LC					EN												
338	Ateles hybridus			CR					CR												
339	Ateles marginatus			EN					EN											EN	
340	Ateles paniscus			LC					VU											VU	
341	Atelocynus microtis				DD				NT			NT									
342	Atherurus africanus				LC				LC								LC				
343	Atherurus macrourus								LC								LC				LC
344	Atilax paludinosus								LC							LC					
345	Atlantoxerus getulus				LC				LC								LC				
346	Atopogale cubana								EN									EN	EN		
347	Auliscomys boliviensis								LC								LC				
348	Auliscomys pictus								LC								LC				
349	Auliscomys sublimis								LC								LC				
350	Austronomus australis								LC												
351	Austronomus kuboriensis								LC												
352	Avahi betsileo								DD						EN						
353	Avahi cleesei								EN						EN						
354	Avahi laniger								LC						VU						
355	Avahi meridionalis								DD						EN						
356	Avahi mooreorum														EN						
357	Avahi occidentalis								EN						EN						
358	Avahi peyrierasi								DD						VU						
359	Avahi ramanantsoavanai								DD						VU						
360	Avahi unicolor								DD						EN						
361	Axis axis								LC							LC					
362	Axis calamianensis								EN							EN					
363	Axis kuhlii								CR					CR		CR					
364	Axis porcinus								EN				EN			EN					
365	Babyrousa babyrussa								VU												
366	Babyrousa celebensis								VU								VU				
367	Babyrousa togeanensis								EN								EN				
368	Baeodon alleni								LC											LC	
369	Baeodon gracilis								LC											LC	
370	Baiomys musculus								LC								LC				
371	Baiomys taylori								LC								LC				
372	Baiyankamys habbema								DD									DD			
373	Baiyankamys shawmayeri								LC								LC				
374	Balaena mysticetus								CR				CR						EN		
375	Balaenoptera acutorostrata								LC										LC		
376	Balaenoptera bonaerensis								DD										NT		
377	Balaenoptera borealis								EN										EN		
378	Balaenoptera edeni								DD									CR	LC		
379	Balaenoptera musculus								EN										EN		
380	Balaenoptera omurai								DD										DD	DD	
381	Balaenoptera physalus								EN				VU	EN					VU		
382	Balantiopteryx infusca								EN							VU					
383	Balantiopteryx io								VU							VU					
384	Balantiopteryx plicata								LC								LC				
385	Balionycteris maculata								LC												
386	Bandicota bengalensis								LC								LC				
387	Bandicota indica								LC								LC				
388	Bandicota savilei								LC								LC				
389	Barbastella barbastellus								NT								NT				
390	Barbastella leucomelas																	LC			
391	Bassaricyon alleni																LC				
392	Bassaricyon gabbii																LC				
393	Bassaricyon medius																LC				LC
394	Bassaricyon neblina																NT				NT
395	Bassariscus astutus								LC								LC				
396	Bassariscus sumichrasti								LC								LC				LC
397	Bathyergus janetta				LC				LC								LC				
398	Bathyergus suillus				LC				LC								LC	LC			
399	Batomys dentatus								DD								DD				
400	Batomys granti																	LC			
401	Batomys hamiguitan																	DD			
402	Batomys russatus								EN									EN			
403	Batomys salomonseni								LC								LC				
404	Batomys uragon																	LC			
405	Bauerus dubiaquercus								NT										NT		
406	Bdeogale crassicauda								LC							LC	LC				
407	Bdeogale jacksoni								NT							NT					
408	Bdeogale nigripes								LC							LC					
409	Bdeogale omnivora								VU								VU				
410	Beamys hindei				NT				LC								LC				
411	Beatragus hunteri							CR	CR									CR			
412	Belomys pearsonii								DD								DD				
413	Berardius arnuxii								DD												
414	Berardius bairdii								DD												
415	Berylmys berdmorei								LC								LC				
416	Berylmys bowersi								LC								LC				
417	Berylmys mackenziei								DD								DD				
418	Berylmys manipulus								DD								DD				
419	Bettongia gaimardi								NT								NT				
420	Bettongia lesueur								NT											NT	
421	Bettongia penicillata								CR								CR				
422	Bettongia tropica								EN								EN				
423	Bibimys chacoensis								LC								LC				
424	Bibimys labiosus								LC								LC				
425	Bibimys torresi								NT										VU		
426	Bison bison								NT									NT			
427	Bison bonasus								VU												
428	Biswamoyopterus biswasi								CR								CR				
429	Biswamoyopterus laoensis																	DD			
430	Blanfordimys afghanus								LC								LC				
431	Blanfordimys bucharensis								LC								LC				
432	Blarina brevicauda								LC								LC				
433	Blarina carolinensis								LC								LC				
434	Blarina hylophaga								LC								LC				
435	Blarinella griselda								LC								LC				
436	Blarinella quadraticauda								NT								NT				
437	Blarinella wardi								LC								LC				
438	Blarinomys breviceps								LC								LC				
439	Blastocerus dichotomus		VU						VU								VU				
440	Bos gaurus								VU								VU				
441	Bos javanicus								EN								EN				
442	Bos mutus								VU								VU				
443	Bos sauveli								CR								CR				
444	Boselaphus tragocamelus			LC					LC								LC				
445	Brachiones przewalskii								LC								LC				
446	Brachylagus idahoensis								LC								LC				
447	Brachyphylla cavernarum								LC											LC	
448	Brachyphylla nana								LC											LC	
449	Brachytarsomys albicauda								LC								LC				
450	Brachytarsomys villosa								EN								VU				
451	Brachyteles arachnoides			EN					EN											CR	
452	Brachyteles hypoxanthus			CR					CR											CR	
453	Brachyuromys betsileoensis								LC								LC				
454	Brachyuromys ramirohitra								LC								LC				
455	Bradypus pygmaeus						CR		CR			CR			CR						
456	Bradypus torquatus						EN		EN			VU			VU						
457	Bradypus tridactylus						LC		LC			LC			LC						
458	Bradypus variegatus						LC		LC			LC			LC						
459	Brassomys albidens								DD								DD	DD			
460	Brucepattersonius griserufescens																	DD			
461	Brucepattersonius guarani								DD											DD	
462	Brucepattersonius igniventris								DD											DD	
463	Brucepattersonius iheringi								LC								LC				
464	Brucepattersonius misionensis								DD											DD	
465	Brucepattersonius paradisus								DD											DD	
466	Brucepattersonius soricinus								DD											DD	
467	Bubalus arnee								EN											EN	
468	Bubalus depressicornis							EN	EN								EN				
469	Bubalus mindorensis							CR	CR					CR			CR				
470	Bubalus quarlesi							EN	EN								EN				
471	Budorcas taxicolor								VU												
472	Bullimus bagobus								LC								LC				
473	Bullimus gamay								VU									VU			
474	Bullimus luzonicus								LC								LC				
475	Bunolagus monticularis			CR					CR					CR						CR	
476	Bunomys andrewsi								LC								LC				
477	Bunomys chrysocomus								LC								LC				
478	Bunomys coelestis								CR										EN		
479	Bunomys fratrorum								VU								VU				
480	Bunomys karokophilus																			DD	
481	Bunomys penitus								NT											LC	
482	Bunomys prolatus								EN								EN				
483	Bunomys torajae																			DD	
484	Burramys parvus								CR												
485	Cabassous centralis						DD		DD		DD				DD						
486	Cabassous chacoensis						NT		NT		NT				NT						
487	Cabassous tatouay						LC		LC		LC				LC						
488	Cabassous unicinctus						LC		LC		LC				LC						
489	Cacajao ayresi								VU							VU					
490	Cacajao calvus			NT					VU												
491	Cacajao hosomi								VU												
492	Cacajao melanocephalus																		LC		
493	Caenolestes caniventer								NT							NT					
494	Caenolestes condorensis								VU							VU					
495	Caenolestes convelatus								VU								VU				
496	Caenolestes fuliginosus								LC								LC				
497	Caenolestes sangay																VU				
498	Calcochloris obtusirostris						LC		LC							LC					
499	Calcochloris tytonis						DD		DD							DD					
500	Callibella humilis			LC					VU							VU			LC		
501	Callicebus barbarabrownae			CR					CR												
502	Callicebus coimbrai			CR					EN												
503	Callicebus melanochir			VU					VU												
504	Callicebus nigrifrons			NT					NT												
505	Callicebus personatus			VU					VU												
506	Callimico goeldii			NT					VU												
507	Callistomys pictus								EN								EN				
508	Callithrix aurita								VU											EN	EN
509	Callithrix flaviceps			EN					EN												
510	Callithrix geoffroyi								LC										LC		
511	Callithrix jacchus			LC					LC										LC		
512	Callithrix kuhlii			LC					NT											VU	
513	Callithrix penicillata			LC					LC										LC		
514	Callorhinus ursinus								VU							VU					
515	Callosciurus adamsi								VU								NT				
516	Callosciurus albescens								DD								DD				
517	Callosciurus baluensis								LC								LC				
518	Callosciurus caniceps								LC								LC				
519	Callosciurus erythraeus								LC									LC			
520	Callosciurus finlaysonii								LC									LC			
521	Callosciurus inornatus								LC								LC				
522	Callosciurus melanogaster								VU								VU				
523	Callosciurus nigrovittatus								NT											LC	
524	Callosciurus notatus								LC								LC				
525	Callosciurus orestes								LC								LC				
526	Callosciurus phayrei								LC								LC				
527	Callosciurus prevostii								LC								LC				
528	Callosciurus pygerythrus								LC								LC				
529	Callosciurus quinquestriatus								NT											LC	
530	Callospermophilus lateralis								LC								LC				
531	Callospermophilus madrensis								NT								NT				
532	Callospermophilus saturatus								LC								LC				
533	Calomys boliviae								LC								LC				
534	Calomys callidus								LC								LC				
535	Calomys callosus								LC								LC				
536	Calomys expulsus								LC								LC				
537	Calomys fecundus								LC									LC			
538	Calomys hummelincki								VU		LC						LC				
539	Calomys laucha								LC								LC				
540	Calomys lepidus								LC								LC				
541	Calomys musculinus								LC								LC				
542	Calomys sorellus								LC								LC				
543	Calomys tener								LC								LC				
544	Calomys tocantinsi								LC									LC			
545	Calomys venustus								LC								LC				
546	Calomyscus bailwardi								LC								LC				
547	Calomyscus baluchi								LC								LC				
548	Calomyscus elburzensis								LC								LC				
549	Calomyscus grandis								DD								DD				
550	Calomyscus hotsoni								LC								LC				
551	Calomyscus mystax								LC								LC				
552	Calomyscus tsolovi								DD								DD				
553	Calomyscus urartensis								LC								LC				
554	Caluromys derbianus								LC							LC					
555	Caluromys lanatus								LC							LC					
556	Caluromys philander								LC							LC					
557	Caluromysiops irrupta								LC							LC					
558	Calyptophractus retusus						NT		NT		DD				DD						
559	Camelus ferus		CR					CR	CR												
560	Canis adustus				LC				LC						LC						
561	Canis aureus																		LC		
562	Canis latrans				LC				LC										LC		
563	Canis lupaster																			LC	
564	Canis lupus				LC				LC		LC								LC		
565	Canis mesomelas				LC				LC						LC						
566	Canis rufus				CR				CR										CR		
567	Canis simensis				EN				EN			EN									
568	Cannomys badius								LC								LC				
569	Cansumys canus								LC								LC				
570	Caperea marginata								DD										LC		
571	Capra aegagrus								VU												
572	Capra caucasica								EN												
573	Capra cylindricornis								NT												
574	Capra falconeri								EN							NT					
575	Capra ibex								LC												
576	Capra nubiana								VU												
577	Capra pyrenaica								LC												
578	Capra sibirica								LC												
579	Capra walie								EN												
580	Capreolus capreolus								LC								LC				
581	Capreolus pygargus								LC								LC				
582	Capricornis crispus								LC												
583	Capricornis milneedwardsii								NT												
584	Capricornis rubidus								NT												
585	Capricornis sumatraensis								VU												
586	Capricornis swinhoei								LC												
587	Capricornis thar								NT												
588	Caprolagus hispidus								EN											EN	
589	Capromys pilorides								LC												
590	Caracal aurata		VU						NT							VU					
591	Caracal caracal		LC						LC								LC				
592	Cardiocranius paradoxus								DD								DD				
593	Cardioderma cor				LC				LC									LC			
594	Carollia benkeithi																			LC	
595	Carollia brevicauda								LC								LC				
596	Carollia castanea																LC				
597	Carollia manu								LC							LC					
598	Carollia monohernandezi																			DD	
599	Carollia perspicillata								LC							LC					
600	Carollia sowelli								LC							LC					
601	Carollia subrufa								LC							LC					
602	Carpitalpa arendsi						VU		VU							VU					
603	Carpomys melanurus								DD								DD				
604	Carpomys phaeurus								LC								LC				
605	Carterodon sulcidens								DD								DD				
606	Caryomys eva								LC								LC				
607	Caryomys inez								LC								LC				
608	Casinycteris argynnis				NT				LC								LC				
609	Casinycteris campomaanensis																	DD			
610	Castor canadensis								LC			LC					LC				
611	Castor fiber		NT						LC								LC				
612	Catagonus wagneri								EN						EN	EN					
613	Catopuma badia		EN						EN								EN				
614	Catopuma temminckii		VU						NT							NT					
615	Cavia aperea																LC				
616	Cavia fulgida								LC								LC				
617	Cavia intermedia								CR								CR				
618	Cavia magna								LC								LC				
619	Cavia patzelti																DD				
620	Cavia tschudii								LC								LC				
621	Cebuella pygmaea			LC					LC											VU	
622	Cebus aequatorialis			NT					CR							CR					
623	Cebus albifrons			LC					LC							LC					
624	Cebus brunneus			LC					LC							LC					
625	Cebus castaneus			LC															LC		
626	Cebus cesarae			NT					DD							DD					
627	Cebus cuscinus			LC					NT							NT				NT	NT
628	Cebus kaapori								CR											CR	CR
629	Cebus leucocephalus																			VU	
630	Cebus malitiosus			NT					EN							EN					
631	Cebus trinitatis								CR												
632	Cebus versicolor								EN							EN					
633	Centronycteris centralis								LC							LC					
634	Centronycteris maximiliani								LC								LC				
635	Centurio senex								LC								LC				
636	Cephalophus adersi				CR				CR									VU			
637	Cephalophus callipygus								LC								LC				
638	Cephalophus dorsalis								LC								NT				NT
639	Cephalophus harveyi								LC								LC				
640	Cephalophus jentinki								EN								EN				
641	Cephalophus leucogaster								LC								NT				
642	Cephalophus natalensis								LC								LC				
643	Cephalophus niger								LC								LC				
644	Cephalophus nigrifrons								LC								LC				
645	Cephalophus ogilbyi								LC								LC				
646	Cephalophus rufilatus								LC								LC				
647	Cephalophus silvicultor								LC								NT				
648	Cephalophus spadix							EN	EN								EN				
649	Cephalophus weynsi								LC								LC				
650	Cephalophus zebra								VU								VU				
651	Cephalorhynchus commersonii								DD					DD				LC			
652	Cephalorhynchus eutropia								NT					NT				NT			
653	Cephalorhynchus heavisidii								DD					DD					NT		
654	Cephalorhynchus hectori								EN					EN							
655	Ceratotherium simum		NT	NT					NT			NT	NT								NT
656	Cercartetus caudatus								LC								LC				
657	Cercartetus concinnus								LC								LC				
658	Cercartetus lepidus								LC								LC				
659	Cercartetus nanus								LC								LC				
660	Cercocebus agilis								LC											LC	
661	Cercocebus atys								NT								NT				
662	Cercocebus chrysogaster								DD												
663	Cercocebus galeritus								EN												
664	Cercocebus lunulatus								EN								EN				
665	Cercocebus sanjei								EN											EN	
666	Cercocebus torquatus								VU											EN	
667	Cercopithecus ascanius								LC											LC	
668	Cercopithecus campbelli								LC								LC				
669	Cercopithecus cephus								LC											LC	LC
670	Cercopithecus denti								LC								LC				
671	Cercopithecus diana								VU								VU			EN	
672	Cercopithecus dryas								CR											EN	
673	Cercopithecus erythrogaster								VU												
674	Cercopithecus erythrotis								VU												
675	Cercopithecus hamlyni								VU											VU	VU
676	Cercopithecus lowei								LC								LC			VU	
677	Cercopithecus mitis								LC											LC	
678	Cercopithecus mona								LC												
679	Cercopithecus neglectus								LC											LC	
680	Cercopithecus nictitans								LC											NT	
681	Cercopithecus petaurista								LC												
682	Cercopithecus pogonias																			NT	NT
683	Cercopithecus roloway								EN								EN			CR	
684	Cercopithecus sclateri								VU											EN	
685	Cercopithecus wolfi																			NT	
686	Cerdocyon thous				LC				LC							LC					
687	Cerradomys maracajuensis								LC									LC			
688	Cerradomys marinhus								DD											LC	
689	Cerradomys scotti																	LC			
690	Cerradomys subflavus								LC								LC				
691	Cervus albirostris								VU						VU	VU					
692	Cervus canadensis																LC		LC		
693	Cervus elaphus																LC		LC		
694	Cervus hanglu																	LC			
695	Cervus nippon								LC							LC					
696	Chacodelphys formosa								VU								NT				
697	Chaerephon aloysiisabaudiae				NT				LC									LC			
698	Chaerephon ansorgei				LC				LC									LC			
699	Chaerephon atsinanana																	LC			
700	Chaerephon bemmeleni				LC				LC									LC			
701	Chaerephon bivittatus				LC				LC									LC			
702	Chaerephon bregullae								EN						EN					EN	
703	Chaerephon chapini				DD				LC						LC			LC			
704	Chaerephon gallagheri				CR				DD											DD	
705	Chaerephon jobensis								LC											LC	
706	Chaerephon jobimena								LC						LC			LC			
